Adım	Kırmızı	Sarı	Skor
24	0	0	0
64	0	0	0
184	0	0	0
256	0	0	0
256	0	0	0
264	0	0	0
280	0	0	0
328	0	0	0
440	0	0	0
512	0	0	0
600	0	0	0
632	0	0	0
680	0	0	0
704	0	0	0
712	0	0	0
720	0	0	0
728	0	0	0
752	0	0	0
752	0	0	0
824	0	0	0
840	0	0	0
864	0	0	0
872	1	0	1
888	0	0	0
896	0	0	0
936	0	0	0
952	1	0	1
976	0	0	0
1008	0	0	0
1040	1	0	1
1064	1	0	1
1088	1	0	1
1112	0	0	0
1120	0	0	0
1136	0	0	0
1176	0	0	0
1184	0	0	0
1184	0	0	0
1248	0	0	0
1256	0	0	0
1288	0	0	0
1376	0	0	0
1440	0	0	0
1456	0	0	0
1464	0	0	0
1512	0	0	0
1520	0	0	0
1584	0	0	0
1608	0	0	0
1632	0	0	0
1640	0	0	0
1680	0	0	0
1704	0	0	0
1712	0	0	0
1776	0	0	0
1792	0	0	0
1872	0	0	0
1880	0	0	0
1992	0	0	0
2040	0	0	0
2080	0	0	0
2088	0	0	0
2120	0	0	0
2136	0	0	0
2192	1	0	1
2216	0	0	0
2296	0	0	0
2312	0	0	0
2344	0	0	0
2360	0	0	0
2376	0	0	0
2376	0	0	0
2448	0	0	0
2496	0	0	0
2552	0	0	0
2640	0	0	0
2672	0	0	0
2720	0	0	0
2752	0	0	0
2784	0	0	0
2792	0	0	0
2816	0	0	0
2824	0	0	0
2880	1	0	1
2880	0	0	0
2912	0	0	0
3008	0	0	0
3080	1	0	1
3128	0	0	0
3168	1	0	1
3208	0	0	0
3248	0	0	0
3248	0	0	0
3320	0	0	0
3352	0	0	0
3376	2	0	2
3384	0	0	0
3392	1	0	1
3408	0	0	0
3432	0	0	0
3448	0	0	0
3456	0	0	0
3480	1	0	1
3544	0	0	0
3576	0	0	0
3664	0	0	0
3672	0	0	0
3680	0	0	0
3784	0	0	0
3808	0	0	0
3816	0	0	0
3824	0	0	0
3832	0	0	0
3896	0	0	0
3928	0	0	0
3968	0	0	0
3976	0	0	0
3984	0	0	0
3984	0	0	0
3992	0	0	0
4136	0	0	0
4184	0	0	0
4208	0	0	0
4216	0	0	0
4216	0	0	0
4232	0	0	0
4248	0	0	0
4248	0	0	0
4248	0	0	0
4272	0	0	0
4328	0	0	0
4352	0	0	0
4376	0	0	0
4400	0	0	0
4544	0	0	0
4640	0	0	0
4696	0	0	0
4720	0	0	0
4728	0	0	0
4728	0	0	0
4760	0	0	0
4888	0	0	0
4968	0	0	0
5024	0	0	0
5120	0	0	0
5144	0	0	0
5184	1	0	1
5224	0	0	0
5272	0	0	0
5296	0	0	0
5312	0	0	0
5376	0	0	0
5400	0	0	0
5432	0	0	0
5504	0	0	0
5520	0	0	0
5664	0	0	0
5704	0	0	0
5760	1	0	1
5816	0	0	0
5824	0	0	0
5856	0	0	0
5976	0	0	0
6016	0	0	0
6064	0	0	0
6072	0	0	0
6160	0	0	0
6176	0	0	0
6192	0	0	0
6208	1	0	1
6216	0	0	0
6280	1	0	1
6296	0	0	0
6440	0	0	0
6488	0	0	0
6528	0	0	0
6592	0	0	0
6616	0	0	0
6624	0	0	0
6656	0	0	0
6688	0	0	0
6720	0	0	0
6744	0	0	0
6816	0	0	0
6816	0	0	0
7000	0	0	0
7040	0	0	0
7160	0	0	0
7176	0	0	0
