#{"t_start": 1781285167.7912755, "env_id": "None"}
r,l,t
-30.02,3,1.921562
-30.02,8,1.92606
-29.47,23,1.93651
-29.76,32,1.944382
-30.03,32,1.944382
-30.0,1,1.952318
-29.74,35,1.954557
-29.62,41,1.958555
-28.98,55,1.971146
-29.35,41,1.977553
-29.78,34,1.985086
-29.63,24,1.988095
-28.779999,77,1.995552
-29.87,13,1.998551
-29.0,86,1.999551
-28.93,57,2.000899
-29.86,12,2.004096
-30.07,3,2.006097
-29.6,59,2.006097
-28.949999,71,2.01314
-30.01,2,2.016733
-30.02,3,2.018744
-17.73,15,2.019745
-29.26,47,2.021743
-30.03,4,2.025137
-29.72,23,2.02865
-17.91,8,2.030651
-29.3,37,2.032757
-30.72,38,2.080436
-17.34,41,2.290302
-17.820002,14,2.297301
-17.5,27,2.299301
-29.66,27,2.306302
-30.03,4,2.307302
-29.95,16,2.313302
-30.16,7,2.319352
-30.0,6,2.322168
-30.0,1,2.322168
-29.93,34,2.334308
-30.03,9,2.338245
-29.72,28,2.346416
-29.57,33,2.36081
-30.03,19,2.373517
-29.89,10,2.378748
-30.02,3,2.38236
-30.11,7,2.392447
-30.0,1,2.394447
-29.55,41,2.40636
-29.099998,71,2.414203
-28.48,87,2.416679
-30.01,57,2.420894
-30.0,6,2.427456
-28.169998,123,2.436381
-29.55,31,2.437286
-29.88,9,2.449814
-30.06,2,2.450814
-29.9,36,2.470801
-30.04,30,2.471781
-29.64,25,2.495291
-30.05,6,2.510862
-30.05,26,2.5207
-29.759998,105,2.526072
-30.19,55,2.532483
-29.96,12,2.533482
-17.110008,60,2.547639
-30.01,12,2.553178
-30.07,13,2.567709
-30.08,29,2.571975
-29.42,58,2.580222
-28.5,94,2.582237
-29.6,36,2.587498
-30.06,2,2.587498
-28.009998,116,2.602915
-29.64,45,2.610917
-29.83,42,2.622624
-29.81,37,2.639355
-29.98,4,2.648846
-29.83,28,2.656858
-29.36,47,2.663854
-29.26,51,2.669854
-29.09,60,2.676625
-29.98,4,2.678424
-29.3,47,2.68382
-16.94,73,2.691892
-29.8,16,2.691892
-30.11,12,2.702281
-29.7,36,2.721431
-17.460007,66,2.737664
-29.36,57,2.748808
-17.400002,32,2.755809
-29.85,41,2.766504
-29.99,5,2.773319
-29.74,15,2.774232
-29.32,55,2.791221
-29.97,23,2.797226
-5.629999,16,2.804079
-30.08,4,2.807528
-17.32,39,2.808527
-28.74,73,2.81359
-29.84,80,2.819994
-30.01,7,2.824303
-29.8,56,2.825936
-17.670004,29,2.832003
-30.06,17,2.844977
-29.89,25,2.856721
-29.98,29,2.875864
-29.64,24,2.877406
-29.82,28,2.877863
-29.69,30,2.904706
-29.49,45,2.907786
-49.299995,62,2.911624
-29.93,19,2.91262
-29.9,21,2.915853
-29.64,40,2.930525
-30.07,18,2.937191
-29.69,36,2.945884
-28.33,74,2.953509
-30.06,22,2.955174
-29.96,7,2.955174
-29.75,21,2.956173
-30.0,21,2.990745
-29.19,46,2.999256
-30.07,3,3.005898
-30.03,29,3.006899
-29.51,30,3.006899
-30.01,2,3.016118
-29.82,33,3.017619
-30.06,2,3.017619
-29.88,14,3.018629
-30.07,3,3.026856
-29.94,10,3.040443
-29.97,18,3.042466
-29.49,60,3.054214
-30.08,9,3.060749
-29.85,21,3.088925
-29.89,30,3.109015
-29.88,19,3.123234
-29.94,10,3.130078
-29.53,64,3.131588
-27.789999,92,3.131588
-29.4,51,3.141634
-29.98,24,3.166443
-29.48,31,3.1838
-29.42,33,3.192799
-29.53,49,3.215542
-27.29,109,3.222317
-16.7,117,3.22983
-30.09,5,3.24171
-29.85,31,3.253081
-29.93,19,3.259614
-30.0,11,3.260616
-29.92,13,3.27214
-29.79,35,3.279792
-27.310001,200,3.285794
-28.75,67,3.299295
-29.72,28,3.304295
-29.7,36,3.330977
-27.699999,102,3.340978
-17.350002,32,3.348977
-29.37,48,3.360495
-27.82,137,3.364297
-29.22,68,3.371113
-29.78,19,3.393186
-29.9,32,3.400275
-28.35,68,3.41383
-29.6,46,3.414909
-29.42,38,3.435535
-30.01,2,3.436533
-29.199999,66,3.444782
-17.800003,17,3.446935
-29.89,50,3.451112
-15.89001,110,3.463275
-29.89,10,3.468281
-29.32,58,3.504666
-29.09,59,3.513679
-29.64,40,3.523255
-29.38,39,3.541905
-29.86,22,3.548519
-29.38,41,3.550521
-29.92,58,3.55849
-29.22,78,3.568782
-29.85,16,3.577732
-30.07,3,3.585217
-29.78,24,3.60264
-29.15,41,3.60264
-29.38,59,3.649601
-29.31,37,3.659601
-29.119999,68,3.686731
-29.69,45,3.694572
-16.8,63,3.697691
22.630043,132,3.705424
-30.08,9,3.705424
-30.03,4,3.717516
-17.170002,59,3.724733
-30.0,6,3.736687
-29.24,85,3.736687
-29.67,28,3.75934
-30.01,22,3.783925
-49.78,35,3.783925
-29.87,13,3.786491
