Adım	Kırmızı	Sarı	Skor
8	0	0	0
8	0	0	0
72	0	0	0
88	0	0	0
96	0	0	0
128	0	0	0
184	0	0	0
240	1	0	1
304	0	0	0
368	0	0	0
440	0	0	0
448	0	0	0
456	0	0	0
472	0	0	0
472	0	0	0
520	0	0	0
528	0	0	0
536	0	0	0
632	0	0	0
664	0	0	0
688	0	0	0
696	0	0	0
760	1	0	1
784	0	0	0
840	0	0	0
904	0	0	0
920	0	0	0
936	0	0	0
1016	0	0	0
1016	0	0	0
1040	0	0	0
1056	0	0	0
1072	0	0	0
1080	0	0	0
1104	0	0	0
1112	0	0	0
1112	0	0	0
1160	0	0	0
1168	0	0	0
1184	1	0	1
1256	0	0	0
1264	0	0	0
1296	0	0	0
1368	0	0	0
1416	0	0	0
1464	2	0	2
1472	1	0	1
1496	0	0	0
1496	0	0	0
1528	0	0	0
1536	0	0	0
1696	0	0	0
1704	0	0	0
1712	0	0	0
1824	0	0	0
1824	0	1	1
1840	0	0	0
1904	0	0	0
1936	0	0	0
1976	0	0	0
2024	0	0	0
2024	0	0	0
2048	0	0	0
2080	0	0	0
2088	0	0	0
2104	0	0	0
2184	0	0	0
2216	0	0	0
2224	0	0	0
2232	0	0	0
2240	0	0	0
2248	0	0	0
2288	0	0	0
2352	0	0	0
2440	0	0	0
2480	0	0	0
2512	0	0	0
2520	0	0	0
2560	1	0	1
2568	0	1	1
2584	0	0	0
2656	0	0	0
2656	0	0	0
2664	0	0	0
2704	0	0	0
2728	0	0	0
2760	0	0	0
2792	0	0	0
2840	1	0	1
2840	0	0	0
2856	0	0	0
2872	0	0	0
2880	0	0	0
2920	0	0	0
2928	0	0	0
2976	0	0	0
2984	0	0	0
3000	0	0	0
3024	0	0	0
3040	0	0	0
3056	0	0	0
3120	0	0	0
3144	0	0	0
3192	1	0	1
3224	0	0	0
3232	0	0	0
3240	1	0	1
3240	0	0	0
3248	0	0	0
3288	0	0	0
3320	1	0	1
3360	1	0	1
3384	0	0	0
3432	0	0	0
3536	0	0	0
3592	0	0	0
3640	0	0	0
3672	0	0	0
3752	0	0	0
3816	0	0	0
3824	0	0	0
3904	0	0	0
3976	0	0	0
4032	0	0	0
4032	1	0	1
4080	0	0	0
4160	0	0	0
4200	0	0	0
4256	0	0	0
4264	0	0	0
4264	0	0	0
4272	0	0	0
4336	0	0	0
4336	0	0	0
4384	0	0	0
4416	0	0	0
4424	0	0	0
4464	0	0	0
4472	1	0	1
4544	0	0	0
4608	0	0	0
4616	0	0	0
4664	0	0	0
4680	0	0	0
4680	1	0	1
4752	0	0	0
4816	0	0	0
4848	0	0	0
4864	0	0	0
4896	0	0	0
4912	0	0	0
4992	0	0	0
5064	0	0	0
5072	0	0	0
5096	0	0	0
5176	0	0	0
5224	0	0	0
5256	0	0	0
5264	0	0	0
5288	1	0	1
5336	0	0	0
5392	0	0	0
5448	0	0	0
5560	1	0	1
5560	0	0	0
5592	0	0	0
5672	0	0	0
5736	1	0	1
5744	0	0	0
5816	0	0	0
5912	0	0	0
5984	0	0	0
6024	0	0	0
6048	0	0	0
6056	0	0	0
6056	0	0	0
6064	0	0	0
6064	0	0	0
6088	1	0	1
6112	0	0	0
6168	0	0	0
6240	0	0	0
6240	0	0	0
6272	0	0	0
6272	0	0	0
6296	0	0	0
6320	0	0	0
6328	0	0	0
6336	0	0	0
6472	0	0	0
6528	0	0	0
6568	0	0	0
6576	0	0	0
6600	0	0	0
6648	1	0	1
6720	0	0	0
6728	0	0	0
6736	0	0	0
6760	0	0	0
6792	1	0	1
6816	0	0	0
6912	0	0	0
7000	0	0	0
7080	0	0	0
7152	0	0	0
7160	0	0	0
7184	0	0	0
7200	1	0	1
7216	0	0	0
7224	0	0	0
7264	0	0	0
7288	0	0	0
7288	0	0	0
7384	0	0	0
7392	0	0	0
7416	0	0	0
7464	0	0	0
7536	0	0	0
7544	0	0	0
7568	0	0	0
7608	0	0	0
7608	0	0	0
7624	0	0	0
7792	0	0	0
7888	0	0	0
7896	0	0	0
7920	1	0	1
7936	0	0	0
8040	0	0	0
8096	0	0	0
8128	0	0	0
8144	0	0	0
8152	0	0	0
8160	0	0	0
8376	0	0	0
8424	0	0	0
8424	0	0	0
8464	0	0	0
8496	0	0	0
8504	0	0	0
8512	0	0	0
8552	0	0	0
8568	0	0	0
8576	0	0	0
8664	0	0	0
8688	1	0	1
8736	0	0	0
8880	0	0	0
8904	0	0	0
8912	0	0	0
8920	0	0	0
8920	0	0	0
9016	0	0	0
9032	0	0	0
9312	0	1	1
9480	1	0	1
9528	0	0	0
9568	0	0	0
9704	0	0	0
9752	0	0	0
9784	0	0	0
9896	0	1	1
9904	1	0	1
9984	0	0	0
10112	0	0	0
10248	1	0	1
10272	0	0	0
10336	0	0	0
10360	0	0	0
10408	0	0	0
10496	0	0	0
10504	1	0	1
10512	0	0	0
10536	1	0	1
10552	0	0	0
10576	0	0	0
10760	0	0	0
10768	0	0	0
10848	0	0	0
10856	0	0	0
10896	0	0	0
11008	0	0	0
11008	0	0	0
11016	0	0	0
11208	0	0	0
11288	0	0	0
11376	0	0	0
11408	0	0	0
11480	0	0	0
11504	0	0	0
11624	0	0	0
11624	0	0	0
11640	0	0	0
11672	0	0	0
11696	0	0	0
11744	1	1	2
11800	0	0	0
11880	0	0	0
11880	0	0	0
11896	0	0	0
11936	1	0	1
11968	0	0	0
12032	0	0	0
12056	0	0	0
12104	0	0	0
12152	0	0	0
12184	0	0	0
12208	0	0	0
12224	0	0	0
12568	1	0	1
12616	0	0	0
12648	0	0	0
12736	0	0	0
12896	1	0	1
13040	1	0	1
13072	0	0	0
13080	1	0	1
13096	0	0	0
13168	1	1	2
13184	0	0	0
13264	0	0	0
13272	0	0	0
13296	0	0	0
13328	0	0	0
13528	2	0	2
13704	0	0	0
13704	0	0	0
13720	0	0	0
13768	0	0	0
13848	0	0	0
14216	0	0	0
14488	0	0	0
14616	1	0	1
14712	0	0	0
14736	0	0	0
14872	0	0	0
14968	1	0	1
15000	1	0	1
15024	0	0	0
15040	0	0	0
15040	1	0	1
15048	0	0	0
15080	0	0	0
15160	0	0	0
15424	0	0	0
15520	0	0	0
15568	0	0	0
15584	0	0	0
15816	0	0	0
15976	0	0	0
16008	0	0	0
16064	1	0	1
16088	0	0	0
16168	1	0	1
16256	0	0	0
16296	1	0	1
16360	0	0	0
16488	0	0	0
16672	0	0	0
