#{"t_start": 1781284635.6025443, "env_id": "None"}
r,l,t
-30.0,1,2.297752
-30.0,1,2.297752
-29.97,8,2.316446
-29.95,11,2.320446
-30.06,12,2.323452
-30.0,16,2.332062
-29.83,14,2.345605
-17.780005,30,2.359966
-29.52,38,2.377399
-30.04,30,2.395398
-30.09,25,2.414913
-29.99,10,2.417058
-29.27,57,2.419931
-30.07,3,2.424469
-30.06,2,2.424469
-29.16,64,2.438463
-29.13,54,2.440467
-30.0,1,2.443462
-29.68,14,2.469263
-29.85,16,2.478997
-29.75,31,2.48496
-29.77,28,2.487959
-17.800001,12,2.507001
-29.88,19,2.514002
-27.919998,94,2.530522
-29.43,54,2.548565
-29.89,20,2.553663
-30.06,12,2.55818
-29.93,14,2.581527
-29.7,41,2.581527
-29.67,32,2.589527
-29.64,45,2.594692
-29.16,96,2.599297
-29.92,8,2.601835
-30.0,6,2.609354
-28.499998,116,2.611701
-29.91,22,2.611701
-29.69,15,2.627193
-29.75,31,2.630697
-17.810001,13,2.635716
-29.96,12,2.656452
-29.7,31,2.659451
-30.03,4,2.668668
-29.72,23,2.689652
-30.14,15,2.703223
-5.539999,37,2.717772
-17.220005,45,2.720771
-29.57,53,2.729316
-29.59,30,2.729316
-30.03,4,2.740137
-30.15,21,2.742142
-29.63,29,2.789698
-30.16,74,2.792694
-29.96,27,2.795783
-29.59,37,2.829557
-4.1399994,51,2.829557
-29.67,38,2.835049
-29.95,26,2.854372
-29.82,28,2.863519
-28.83,109,2.875287
-29.44,25,2.891001
-30.07,23,2.891001
-28.89,72,2.898545
-30.06,7,2.908691
-29.87,33,2.911695
-29.99,50,2.917278
-29.91,12,2.940882
-30.0,24,2.95188
-29.85,36,2.953884
-30.0,1,2.95688
-30.01,17,2.959542
-29.89,25,2.962129
-29.38,39,2.974709
-29.55,34,2.994878
-29.82,28,3.021406
-29.54,30,3.033438
-29.64,35,3.042511
-30.0,1,3.045511
-17.660004,26,3.056434
-3.2599983,83,3.059443
-29.39,37,3.064115
-29.56,17,3.0858
-29.96,12,3.0858
-28.91,60,3.088817
-30.1,6,3.100346
-29.82,18,3.107885
-29.92,13,3.117404
-29.1,44,3.126917
-17.83,10,3.141435
-30.01,17,3.141435
-29.48,24,3.146868
-30.08,4,3.151867
-30.43,50,3.154496
-29.78,24,3.165711
-29.289999,85,3.168494
-29.89,15,3.181495
-29.82,8,3.184499
-29.78,9,3.1895
-30.02,3,3.19671
-29.95,21,3.201713
-29.71,22,3.206419
-29.15,69,3.224485
-30.07,3,3.231515
-17.53,50,3.244515
-29.92,23,3.253515
-30.04,5,3.256515
-17.850006,32,3.258519
-29.44,50,3.258519
-30.02,13,3.261517
-29.77,8,3.272514
-17.66,33,3.281516
-17.24,48,3.291515
-30.13,19,3.297515
-29.83,24,3.310701
-29.5,36,3.338245
-29.63,29,3.353282
-29.77,13,3.365365
-29.57,48,3.374364
-29.69,40,3.393907
-29.92,8,3.4103
-29.77,23,3.413682
-29.27,73,3.435247
-29.88,9,3.454762
-29.91,27,3.470736
-17.330002,45,3.470736
-30.05,6,3.483866
-29.8,16,5.233473
-29.58,76,5.246036
