#{"t_start": 1781293175.7816188, "env_id": "None"}
r,l,t
-30.0,1,1.965451
-30.0,1,1.965451
-29.97,8,1.991952
-29.95,11,1.999673
-30.0,16,2.016632
-29.83,14,2.038393
-17.780005,30,2.062847
-29.52,38,2.091541
-29.94,40,2.099449
-30.04,30,2.120908
-30.09,25,2.152802
-29.99,10,2.157934
-29.27,57,2.162528
-30.07,3,2.170637
-30.06,2,2.170637
-29.89,20,2.175857
-29.16,64,2.194162
-29.98,14,2.228562
-29.68,14,2.248417
-29.75,31,2.277056
-29.77,28,2.282098
-29.88,19,2.327954
-27.919998,94,2.356178
-29.43,54,2.39047
-30.06,12,2.409046
-30.01,52,2.446846
-29.93,14,2.452181
-29.7,41,2.452181
-29.67,32,2.46637
-29.64,45,2.474898
-29.16,96,2.484142
-29.92,8,2.488196
-30.0,6,2.500401
-28.499998,116,2.504829
-29.91,22,2.504829
-29.69,15,2.530146
-17.810001,13,2.544191
-29.96,12,2.579212
-17.400002,32,2.583303
-29.7,31,2.583303
-30.03,4,2.600075
-29.72,23,2.639242
-30.14,15,2.66345
-29.99,20,2.667447
-17.220005,45,2.689627
-29.57,53,2.70145
-29.59,30,2.70145
-30.03,4,2.719217
-30.15,21,2.723971
-29.76,22,2.757815
-30.0,1,2.762214
-30.16,74,2.80941
-29.96,27,2.814417
-29.59,37,2.869165
-4.1399994,51,2.869165
-29.67,38,2.876813
-29.82,28,2.924484
-28.83,109,2.944649
-29.44,25,2.966978
-30.07,23,2.967978
-29.55,41,2.972226
-29.79,55,2.980421
-28.89,72,2.980421
-30.06,7,2.995196
-29.87,33,2.998724
-29.87,8,3.010887
-29.91,12,3.042494
-30.15,21,3.05131
-30.0,24,3.059628
-29.85,36,3.063552
-30.0,1,3.067022
-29.89,25,3.074837
-29.38,39,3.092237
-29.55,34,3.120059
-29.82,28,3.155968
-29.51,37,3.179761
-29.64,35,3.187177
-30.0,1,3.19131
-29.85,6,3.201239
-29.49,55,3.205025
-17.660004,26,3.208352
-29.39,37,3.218549
-29.56,17,3.249358
-29.96,12,3.249358
-28.91,60,3.25338
-30.1,6,3.270983
-30.06,22,3.279665
-29.82,18,3.283803
-29.92,13,3.29714
-29.39,30,3.311079
-29.1,44,3.311079
-17.83,10,3.332752
-30.01,17,3.332752
-29.48,24,3.340721
