Adım	Kırmızı	Sarı	Skor
8	0	0	0
8	0	0	0
72	0	0	0
88	0	0	0
128	0	0	0
184	0	0	0
240	1	0	1
304	0	0	0
320	0	0	0
368	0	0	0
440	0	0	0
448	0	0	0
456	0	0	0
472	0	0	0
472	0	0	0
480	0	0	0
520	0	0	0
592	0	0	0
632	0	0	0
688	0	0	0
696	0	0	0
784	0	0	0
840	0	0	0
904	0	0	0
936	0	0	0
1008	0	0	0
1016	0	0	0
1016	0	0	0
1040	0	0	0
1056	0	0	0
1072	0	0	0
1080	0	0	0
1104	0	0	0
1112	0	0	0
1112	0	0	0
1160	0	0	0
1184	1	0	1
1256	0	0	0
1264	1	0	1
1264	0	0	0
1296	0	0	0
1368	0	0	0
1416	0	0	0
1424	0	0	0
1472	1	0	1
1496	0	0	0
1496	0	0	0
1528	0	0	0
1536	0	0	0
1600	0	0	0
1608	0	0	0
1704	0	0	0
1712	0	0	0
1824	0	0	0
1824	0	1	1
1840	0	0	0
1936	0	0	0
1976	0	0	0
2024	0	0	0
2024	0	0	0
2032	0	0	0
2048	0	0	0
2048	0	0	0
2080	0	0	0
2088	0	0	0
2112	0	0	0
2184	0	0	0
2200	0	0	0
2216	0	0	0
2224	0	0	0
2232	0	0	0
2248	0	0	0
2288	0	0	0
2352	0	0	0
2440	0	0	0
2496	0	0	0
2512	0	0	0
2520	0	0	0
2544	0	0	0
2552	0	0	0
2560	1	0	1
2584	0	0	0
2656	0	0	0
2656	0	0	0
2664	0	0	0
2704	0	0	0
2720	0	0	0
2728	0	0	0
2760	0	0	0
2792	0	0	0
2792	0	0	0
2840	1	0	1
2840	0	0	0
2856	0	0	0
2872	0	0	0
2920	0	0	0
2928	0	0	0
2976	0	0	0
2984	0	0	0
3000	0	0	0
3000	0	0	0
3024	0	0	0
3040	0	0	0
3112	0	0	0
3128	0	0	0
3192	1	0	1
3216	0	0	0
3224	1	0	1
3224	0	0	0
3232	0	0	0
3240	1	0	1
3240	0	0	0
3280	0	0	0
3288	0	0	0
3360	1	0	1
3384	0	0	0
3432	0	0	0
3544	0	0	0
3592	0	0	0
3624	0	0	0
3672	0	0	0
3864	1	0	1
3896	0	0	0
4032	1	0	1
4080	0	0	0
4120	0	0	0
4144	0	0	0
4152	0	0	0
4160	0	0	0
4256	0	0	0
4272	0	0	0
4304	0	0	0
4376	0	0	0
4400	1	0	1
4400	0	0	0
4520	0	0	0
4536	0	0	0
4568	0	0	0
4632	0	0	0
4648	0	0	0
4736	0	0	0
4760	0	0	0
4776	0	0	0
4824	0	0	0
4936	0	0	0
5024	0	0	0
5072	0	0	0
5104	0	0	0
5192	1	1	2
5208	0	0	0
5240	0	0	0
5296	0	0	0
5296	0	0	0
5296	0	0	0
5368	0	0	0
5416	0	0	0
5456	0	0	0
5456	0	0	0
5472	0	0	0
5480	0	0	0
5480	0	0	0
5504	0	0	0
5512	0	0	0
5528	0	0	0
5608	0	0	0
5632	0	0	0
5640	1	0	1
5688	0	0	0
5720	0	0	0
5728	1	0	1
5776	0	0	0
5792	1	0	1
5840	0	0	0
5888	0	0	0
5896	0	0	0
6032	0	0	0
6048	0	0	0
6056	0	0	0
6056	0	0	0
6056	1	0	1
6096	0	0	0
6152	0	0	0
6152	0	0	0
6176	0	0	0
6272	0	0	0
6320	0	0	0
6360	0	0	0
6376	0	0	0
6408	0	0	0
6424	0	0	0
6472	0	0	0
6496	0	0	0
6520	0	0	0
6576	0	0	0
6616	0	0	0
6616	0	0	0
6712	0	0	0
6856	0	0	0
6872	0	0	0
6920	0	0	0
6928	0	0	0
6960	0	0	0
7008	0	0	0
7072	0	0	0
7080	0	0	0
7112	0	0	0
7120	0	0	0
7176	0	0	0
7200	1	0	1
7216	0	0	0
7232	0	0	0
7232	0	0	0
7256	0	0	0
7264	0	0	0
7264	1	0	1
7272	0	0	0
7288	0	0	0
7288	1	0	1
7312	0	0	0
7344	0	0	0
7416	1	0	1
7424	0	0	0
7456	0	0	0
7456	1	0	1
7472	0	0	0
7480	0	0	0
7488	0	0	0
7512	0	0	0
7552	0	0	0
7616	0	0	0
7616	0	0	0
7736	0	0	0
7768	0	0	0
7784	1	0	1
7816	0	0	0
7880	0	0	0
7896	0	0	0
7984	0	0	0
7984	0	0	0
8008	0	0	0
8016	0	0	0
8120	0	0	0
8176	0	0	0
8184	0	0	0
8216	1	0	1
8256	0	0	0
8280	0	0	0
8416	0	0	0
8424	0	0	0
8424	0	0	0
8448	0	0	0
8704	0	0	0
8760	0	0	0
8784	0	0	0
8800	0	0	0
8816	1	0	1
8824	0	0	0
8848	0	0	0
8912	1	0	1
9000	1	0	1
9056	0	0	0
9072	0	0	0
9208	0	0	0
9376	0	0	0
9400	0	0	0
9416	0	0	0
9432	0	0	0
9456	0	0	0
9488	0	0	0
9656	0	0	0
9680	0	0	0
9680	0	0	0
9688	0	0	0
9696	0	0	0
9840	0	0	0
9872	0	0	0
9880	0	0	0
9888	0	0	0
9888	0	0	0
9936	0	0	0
9968	1	0	1
9992	0	0	0
10096	0	0	0
10208	0	0	0
10360	0	0	0
10400	0	0	0
10440	0	0	0
10504	0	0	0
10504	0	0	0
10520	0	0	0
10544	0	0	0
10704	0	0	0
10872	2	0	2
10896	0	0	0
10928	1	0	1
10968	0	0	0
11024	0	0	0
11096	0	0	0
11248	0	0	0
11264	0	0	0
11272	0	0	0
11352	0	0	0
11368	0	0	0
11432	0	0	0
11472	0	0	0
11496	0	0	0
11520	0	0	0
11544	0	0	0
11560	0	0	0
11624	0	0	0
11664	0	0	0
11720	0	0	0
11728	0	0	0
11776	0	0	0
11808	0	0	0
11880	1	0	1
12024	1	0	1
12080	0	0	0
12136	0	0	0
12160	0	0	0
12160	0	0	0
12264	0	0	0
12304	1	0	1
12384	0	0	0
12464	0	0	0
12464	0	0	0
12616	0	0	0
12624	1	0	1
12656	0	0	0
12744	0	0	0
12856	0	1	1
12856	1	0	1
12864	1	0	1
12896	0	0	0
13160	0	0	0
13168	1	0	1
13256	0	0	0
13304	0	0	0
13312	0	0	0
13320	0	0	0
13424	0	0	0
13432	1	0	1
13440	0	0	0
13504	0	0	0
13568	0	0	0
13680	1	0	1
13784	0	1	1
13792	0	0	0
13856	1	0	1
13920	1	0	1
13936	0	0	0
13960	1	0	1
14000	0	0	0
14040	0	0	0
14056	0	0	0
14136	0	0	0
14216	1	0	1
14224	1	0	1
14264	0	0	0
