#{"t_start": 1781366624.4062605, "env_id": "None"}
r,l,t
-30.0,1,4.371585
-30.0,1,4.371585
-29.97,8,4.409129
-29.95,11,4.420188
-30.0,16,4.444395
-29.83,14,4.47718
-17.780005,30,4.510471
-29.52,38,4.54448
-29.94,40,4.55474
-30.04,30,4.581707
-30.09,25,4.616988
-29.99,10,4.622737
-29.27,57,4.627676
-30.07,3,4.638164
-30.06,2,4.638164
-29.89,20,4.643411
-29.16,64,4.665655
-29.98,14,4.709177
-29.68,14,4.731088
-29.75,31,4.75859
-29.77,28,4.763018
-29.88,19,4.811514
-27.919998,94,4.849629
-29.43,54,4.89006
-30.06,12,4.911486
-30.01,52,4.952445
-29.93,14,4.957813
-29.7,41,4.957813
-29.67,32,4.973239
-29.64,45,4.981814
-29.16,96,4.991837
-29.92,8,4.997569
-30.0,6,5.013204
-28.499998,116,5.018248
-29.91,22,5.08907
-29.69,15,5.113952
-17.810001,13,5.125564
-29.96,12,5.162177
-17.400002,32,5.166692
-29.7,31,5.166692
-30.03,4,5.182738
-29.72,23,5.22072
-30.14,15,5.24627
-29.99,20,5.251066
-17.220005,45,5.277517
-29.57,53,5.291223
-29.59,30,5.291223
-30.03,4,5.307253
-30.15,21,5.312311
-29.76,22,5.345808
-30.0,1,5.349095
-30.16,74,5.403699
-29.96,27,5.408662
-29.59,37,5.467153
-4.1399994,51,5.468219
-29.67,38,5.4784
-29.82,28,5.530596
-28.83,109,5.553161
-29.44,25,5.577874
-30.07,23,5.577874
-29.55,41,5.58276
-29.79,55,5.592919
-28.89,72,5.592919
-30.06,7,5.608998
-29.87,33,5.614206
-29.87,8,5.628667
-29.91,12,5.674649
-30.15,21,5.684543
-30.0,24,5.695415
-29.85,36,5.701716
-30.0,1,5.707406
-29.89,25,5.718806
-29.38,39,5.743049
-29.55,34,5.779954
-29.82,28,5.827203
-29.51,37,5.859874
-29.64,35,5.87082
-30.0,1,5.876839
-29.85,6,5.89102
-29.49,55,5.895968
-17.660004,26,5.899628
-29.39,37,5.912838
-29.56,17,5.94894
-29.96,12,5.94894
-28.91,60,5.953596
-30.1,6,5.974118
-30.06,22,5.984653
-29.82,18,5.989724
-29.92,13,6.0075
-29.39,30,6.025689
-29.1,44,6.025689
-17.83,10,6.049573
-30.01,17,6.050077
-29.48,24,6.05962
-30.08,4,6.068788
-29.78,24,6.096455
