Adım	Kırmızı	Sarı	Skor
40	0	0	0
56	1	0	1
64	0	0	0
64	0	0	0
112	0	0	0
144	0	0	0
208	0	0	0
248	0	0	0
248	0	0	0
272	0	0	0
312	0	0	0
312	0	0	0
328	0	0	0
408	0	0	0
576	0	0	0
624	0	0	0
656	0	0	0
672	0	0	0
704	0	0	0
712	0	0	0
736	0	0	0
736	1	0	1
760	1	0	1
784	0	0	0
816	0	0	0
848	0	0	0
888	0	0	0
936	0	0	0
944	0	0	0
1008	0	0	0
1080	0	0	0
1136	0	0	0
1144	1	0	1
1224	0	0	0
1232	0	0	0
1240	0	0	0
1296	0	0	0
1296	1	0	1
1344	0	0	0
1368	0	0	0
1400	0	0	0
1432	0	0	0
1464	0	0	0
1480	0	0	0
1504	0	0	0
1520	0	0	0
1600	1	0	1
1616	0	0	0
1672	0	0	0
1760	0	0	0
1816	0	0	0
1872	0	0	0
1912	0	0	0
1960	2	0	2
1976	0	0	0
1992	0	0	0
2008	0	0	0
2016	0	0	0
2032	0	0	0
2040	0	0	0
2056	0	0	0
2232	0	1	1
2264	0	0	0
2272	0	0	0
2280	0	0	0
2296	0	0	0
2312	0	0	0
2312	0	0	0
2312	0	0	0
2400	0	0	0
2408	0	0	0
2448	0	0	0
2464	0	0	0
2496	0	0	0
2560	0	0	0
2576	0	0	0
2616	0	0	0
2648	0	0	0
2648	0	0	0
2656	0	0	0
2672	0	0	0
2680	0	0	0
2712	0	0	0
2720	0	0	0
2728	0	0	0
2744	0	0	0
2768	0	1	1
2808	0	0	0
2904	0	0	0
2984	0	0	0
2992	0	0	0
3032	0	0	0
3032	0	0	0
3072	0	0	0
3088	0	0	0
3160	0	0	0
3160	0	0	0
3224	0	0	0
3288	0	0	0
3312	1	0	1
3344	0	0	0
3360	0	0	0
3360	0	0	0
3392	0	0	0
3392	0	0	0
3408	0	0	0
3408	1	0	1
3424	0	0	0
3464	0	0	0
3472	0	0	0
3488	0	0	0
3496	0	0	0
3504	0	0	0
3512	0	0	0
3544	0	0	0
3552	0	0	0
3632	0	0	0
3712	0	0	0
3768	0	0	0
3776	0	0	0
3792	0	0	0
3808	0	0	0
3816	0	0	0
3896	0	0	0
3904	0	0	0
3952	0	0	0
3968	1	0	1
3984	0	0	0
3984	0	0	0
4000	0	0	0
4000	0	0	0
4184	0	0	0
4224	0	0	0
4240	0	0	0
4272	0	0	0
4296	0	0	0
4304	0	0	0
4352	0	0	0
4368	0	0	0
4472	0	0	0
4512	0	0	0
4552	0	0	0
4616	0	0	0
4664	0	0	0
4752	0	0	0
4800	0	1	1
4832	0	0	0
4880	0	0	0
4944	0	0	0
4952	0	0	0
4968	0	0	0
4968	0	0	0
4992	0	1	1
5000	0	0	0
5016	0	0	0
5056	0	0	0
5104	0	0	0
5160	0	0	0
5176	0	0	0
5176	1	0	1
5208	0	0	0
5288	0	0	0
5296	0	0	0
5304	0	0	0
5360	0	0	0
5368	0	0	0
5384	0	0	0
5400	1	0	1
5504	0	0	0
5560	0	0	0
5592	0	0	0
5592	0	0	0
5632	0	0	0
5648	0	0	0
5712	0	1	1
5712	0	0	0
5744	1	0	1
5768	0	0	0
5776	0	0	0
5784	0	0	0
5784	0	0	0
5792	0	0	0
5872	0	0	0
5904	0	0	0
5904	0	0	0
5984	1	0	1
6096	0	0	0
6128	0	0	0
6128	0	0	0
6128	0	0	0
6192	0	0	0
6216	0	0	0
6224	0	0	0
6232	0	0	0
6400	0	0	0
6408	0	0	0
6456	0	0	0
6456	0	0	0
6496	0	0	0
6544	0	0	0
6552	0	0	0
6552	0	0	0
6648	0	0	0
6680	0	1	1
6712	0	0	0
